1971,Cloris Leachman Award winner,The Last Picture Show,Ruth Popper
1972,Eileen Heckart Award winner,Butterflies Are Free,Mrs. Baker
1972,Geraldine Page,Pete 'n' Tillie,Gertrude Wilson
1972,Jeannie Berlin,The Heartbreak Kid,Lila Kolodny
1972,Susan Tyrrell,Fat City,Oma Lee Greer
1972,Shelley Winters,The Poseidon Adventure,Belle Rosen
1973,Madeline Kahn,Paper Moon,Trixie Delight
1973,Candy Clark,American Graffiti,Debbie Dunham
1973,Tatum O'Neal Award winner,Paper Moon,Addie Loggins
1973,Linda Blair,The Exorcist,Regan MacNeil
1973,Sylvia Sidney,"Summer Wishes, Winter Dreams",Mrs. Pritchett
1974,Diane Ladd,Alice Doesn't Live Here Anymore,"Florence ""Flo"" Castleberry"
1974,Talia Shire,The Godfather Part II,"Constanzia ""Connie"" Corleone"
1974,Ingrid Bergman Award winner,Murder on the Orient Express,Greta Ohlsson
1974,Valentina Cortese,Day for Night,Severine
1974,Madeline Kahn,Blazing Saddles,Lili von Shtupp
1975,Sylvia Miles,"Farewell, My Lovely",Jessie Halstead Florian
1975,Ronee Blakley,Nashville,Barbara Jean
1975,Lee Grant Award winner,Shampoo,Felicia Karpf
1975,Lily Tomlin,Nashville,Linnea Reese
1975,Brenda Vaccaro,Jacqueline Susann's Once Is Not Enough,Linda Riggs
1976,Jane Alexander,All the President's Men,Judy Graham Hoback
1976,Lee Grant,Voyage of the Damned,Lillian Rosen
1976,Beatrice Straight Award winner,Network,Louise Schumacher
1976,Jodie Foster,Taxi Driver,Iris Steensma
1976,Piper Laurie,Carrie,Margaret White
1977,Tuesday Weld,Looking for Mr. Goodbar,Katherine Dunn
1977,Melinda Dillon,Close Encounters of the Third Kind,Gillian Guiler
1977,Vanessa Redgrave Award winner,Julia,Julia
1977,Quinn Cummings,The Goodbye Girl,Lucy McFadden
1977,Leslie Browne,The Turning Point,Emilia Rodgers
1978,Maggie Smith Award winner,California Suite,Diane Barrie
1978,Dyan Cannon,Heaven Can Wait,Julia Farnsworth
1978,Meryl Streep,The Deer Hunter,Linda
1978,Penelope Milford,Coming Home,Vi Munson
1978,Maureen Stapleton,Interiors,Pearl
1979,Meryl Streep Award winner,Kramer vs. Kramer,Joanna Kramer
1979,Jane Alexander,Kramer vs. Kramer,Margaret Phelps
1979,Candice Bergen,Starting Over,Jessica Potter
1979,Barbara Barrie,Breaking Away,Evelyn Stoller
1979,Mariel Hemingway,Manhattan,Tracy
1980,Cathy Moriarty,Raging Bull,Vicki Thailer LaMotta
1980,Eileen Brennan,Private Benjamin,Doreen Lewis
1980,Diana Scarwid,Inside Moves,Louise
1980,Mary Steenburgen Award winner,Melvin and Howard,Lynda West Dummar
1980,Eva Le Gallienne,Resurrection,Pearl
1981,Maureen Stapleton Award winner,Reds,Emma Goldman
1981,Joan Hackett,Only When I Laugh,Toby Landau
1981,Elizabeth McGovern,Ragtime,Evelyn Nesbit
1981,Melinda Dillon,Absence of Malice,Teresa Perrone
1981,Jane Fonda,On Golden Pond,Chelsea Thayer Wayne
1982,Lesley Ann Warren,Victor Victoria,Norma Cassady
1982,Kim Stanley,Frances,Lillian van Ornum Farmer
1982,Glenn Close,The World According to Garp,Jenny Fields
1982,Teri Garr,Tootsie,Sandy Lester
1982,Jessica Lange Award winner,Tootsie,Julie Nichols
1983,Alfre Woodard,Cross Creek,"Beatrice ""Geechee"""
1983,Glenn Close,The Big Chill,Sarah Cooper
1983,Amy Irving,Yentl,Hadass Vishkower
1983,Linda Hunt Award winner,The Year of Living Dangerously,Billy Kwan
1983,Cher,Silkwood,Dolly Pelliker
1984,Glenn Close,The Natural,Iris Gaines
1984,Lindsay Crouse,Places in the Heart,Margaret Lomax
1984,Peggy Ashcroft Award winner,A Passage to India,Mrs. Moore
1984,Geraldine Page,The Pope of Greenwich Village,Mrs. Ritter
1984,Christine Lahti,Swing Shift,Hazel Zanussi
1985,Meg Tilly,Agnes of God,Sister Agnes
1985,Margaret Avery,The Color Purple,Shug Avery
1985,Oprah Winfrey,The Color Purple,Sofia Johnson
1985,Anjelica Huston Award winner,Prizzi's Honor,Maerose Prizzi
1985,Amy Madigan,Twice in a Lifetime,Sunny MacKenzie-Sobel
1986,Maggie Smith,A Room with a View,Charlotte Bartlett
1986,Tess Harper,Crimes of the Heart,Chick Boyle
1986,Mary Elizabeth Mastrantonio,The Color of Money,Carmen
1986,Dianne Wiest Award winner,Hannah and Her Sisters,Holly
1986,Piper Laurie,Children of a Lesser God,Mrs. Norman
1987,Olympia Dukakis Award winner,Moonstruck,Rose Castorini
1987,Ann Sothern,The Whales of August,Tisha Doughty
1987,Anne Archer,Fatal Attraction,Beth Gallagher
1987,Anne Ramsey,Throw Momma from the Train,Mrs. Lift
1987,Norma Aleandro,Gaby: A True Story,Florencia Sanchez Morales
1988,Joan Cusack,Working Girl,Cyn
1988,Michelle Pfeiffer,Dangerous Liaisons,Madame Marie de Tourvel
1988,Sigourney Weaver,Working Girl,Katharine Parker
1988,Frances McDormand,Mississippi Burning,Mrs. Pell
1988,Geena Davis Award winner,The Accidental Tourist,Muriel Pritchett
1989,Brenda Fricker Award winner,My Left Foot,Bridget Fagan Brown
1989,Anjelica Huston,"Enemies, A Love Story",Tamara Broder
1989,Dianne Wiest,Parenthood,Helen Buckman
1989,Julia Roberts,Steel Magnolias,Shelby Eatenton Latcherie
1989,Lena Olin,"Enemies, A Love Story",Masha
1990,Whoopi Goldberg Award winner,Ghost,Oda Mae Brown
1990,Diane Ladd,Wild at Heart,Marietta Fortune
1990,Lorraine Bracco,Goodfellas,Karen Friedman Hill
1990,Annette Bening,The Grifters,Myra Langtry
1990,Mary McDonnell,Dances with Wolves,Stands With a Fist
1991,Juliette Lewis,Cape Fear,Danielle Bowden
1991,Diane Ladd,Rambling Rose,Mrs. Hillyer
1991,Mercedes Ruehl Award winner,The Fisher King,Anne Napolitano
1991,Kate Nelligan,The Prince of Tides,Lila Wingo Newbury
1991,Jessica Tandy,Fried Green Tomatoes,"Virginia ""Ninny"" Threadgoode"
1992,Joan Plowright,Enchanted April,Mrs. Fisher
1992,Miranda Richardson,Damage,Ingrid Fleming
1992,Marisa Tomei Award winner,My Cousin Vinny,Mona Lisa Vito
1992,Judy Davis,Husbands and Wives,Sally
1992,Vanessa Redgrave,Howards End,Ruth Wilcox
1993,Holly Hunter,The Firm,"Tamara ""Tammy"" Hemphill"
1993,Anna Paquin Award winner,The Piano,Flora McGrath
1993,Emma Thompson,In the Name of the Father,Gareth Peirce
1993,Rosie Perez,Fearless,Carla Rodrigo
1993,Winona Ryder,The Age of Innocence,May Welland
1994,Helen Mirren,The Madness of King George,Queen Charlotte
1994,Rosemary Harris,Tom & Viv,Rose Robinson Haigh-Wood
1994,Jennifer Tilly,Bullets over Broadway,Olive Neal
1994,Dianne Wiest Award winner,Bullets over Broadway,Helen Sinclair
1994,Uma Thurman,Pulp Fiction,Mia Wallace
1995,Mira Sorvino Award winner,Mighty Aphrodite,Leslie/Linda Ash
1995,Kate Winslet,Sense and Sensibility,Marianne Dashwood
1995,Mare Winningham,Georgia,Georgia Flood
1995,Kathleen Quinlan,Apollo 13,Marilyn Gerlach Lovell
1995,Joan Allen,Nixon,Pat Nixon
1996,Marianne Jean-Baptiste,Secrets & Lies,Hortense Cumberbatch
1996,Juliette Binoche Award winner,The English Patient,Hana
1996,Barbara Hershey,The Portrait of a Lady,Madame Serena Merle
1996,Lauren Bacall,The Mirror Has Two Faces,Hannah Morgan
1996,Joan Allen,The Crucible,Elizabeth Proctor
1997,Kim Basinger Award winner,L.A. Confidential,Lynn Bracken
1997,Gloria Stuart,Titanic,Rose Dawson Calvert
1997,Minnie Driver,Good Will Hunting,Skylar Satenstein
1997,Joan Cusack,In & Out,Emily Montgomery
1997,Julianne Moore,Boogie Nights,Amber Waves/Maggie
1998,Judi Dench Award winner,Shakespeare in Love,Queen Elizabeth I
1998,Lynn Redgrave,Gods and Monsters,Hanna
1998,Rachel Griffiths,Hilary and Jackie,Hilary du Pre
1998,Brenda Blethyn,Little Voice,Mari Hoff
1998,Kathy Bates,Primary Colors,Libby Holden
1999,Samantha Morton,Sweet and Lowdown,Hattie
1999,Catherine Keener,Being John Malkovich,Maxine Lund
1999,Angelina Jolie Award winner,"Girl, Interrupted",Lisa Rowe
1999,Toni Collette,The Sixth Sense,Lynn Sear
1999,Chloe Sevigny,Boys Don't Cry,Lana Tisdel
2000,Marcia Gay Harden Award winner,Pollock,Lee Krasner
2000,Kate Hudson,Almost Famous,Penny Lane
2000,Frances McDormand,Almost Famous,Elaine Miller
2000,Julie Walters,Billy Elliot,Georgia Wilkinson
2000,Judi Dench,Chocolat,Armande Voizin
2001,Jennifer Connelly Award winner,A Beautiful Mind,Alicia de Larde-Nash
2001,Kate Winslet,Iris,Iris Murdoch
2001,Marisa Tomei,In the Bedroom,Natalie Strout
2001,Maggie Smith,Gosford Park,Constance Trentham
2001,Helen Mirren,Gosford Park,Jane Wilson
2002,Julianne Moore,The Hours,Laura McGrath Brown
2002,Kathy Bates,About Schmidt,Roberta Hertzel
2002,Catherine Zeta-Jones Award winner,Chicago,Velma Kelly
2002,Queen Latifah,Chicago,Matron Mama Morton
2002,Meryl Streep,Adaptation,Susan Orlean
2003,Shohreh Aghdashloo,House of Sand and Fog,Nadereh Behrani
2003,Marcia Gay Harden,Mystic River,Celeste Boyle
2003,Patricia Clarkson,Pieces of April,Joy Burns
2003,Holly Hunter,Thirteen,Melanie Freeland
2003,Renee Zellweger Award winner,Cold Mountain,Ruby Thewes
2004,Natalie Portman,Closer,Jane Jones/Alice Ayres
2004,Cate Blanchett Award winner,The Aviator,Katharine Hepburn
2004,Laura Linney,Kinsey,Clara McMillen
2004,Virginia Madsen,Sideways,Maya Randall
2004,Sophie Okonedo,Hotel Rwanda,Tatiana Rusesabagina
2005,Michelle Williams,Brokeback Mountain,Alma Beers Del Mar
2005,Frances McDormand,North Country,Glory Dodge
2005,Amy Adams,Junebug,Ashley Johnsten
2005,Catherine Keener,Capote,Nelle Harper Lee
2005,Rachel Weisz Award winner,The Constant Gardener,Tessa Abbott Quayle
2006,Cate Blanchett,Notes on a Scandal,"Bathsheba ""Sheba"" Hart"
2006,Adriana Barraza,Babel,Amelia Hernandez
2006,Abigail Breslin,Little Miss Sunshine,Olive Hoover
2006,Rinko Kikuchi,Babel,Chieko Wataya
2006,Jennifer Hudson Award winner,Dreamgirls,Effie White
2007,Tilda Swinton Award winner,Michael Clayton,Karen Crowder
2007,Ruby Dee,American Gangster,Mahalee Jones Lucas
2007,Amy Ryan,Gone Baby Gone,Helene McCready
2007,Cate Blanchett,I'm Not There,Jude Quinn
2007,Saoirse Ronan,Atonement,Briony Tallis
2008,Marisa Tomei,The Wrestler,Cassidy/Pam
2008,Penelope Cruz Award winner,Vicky Cristina Barcelona,Maria Elena
2008,Amy Adams,Doubt,Sister James
2008,Viola Davis,Doubt,Mrs. Miller
2008,Taraji P. Henson,The Curious Case of Benjamin Button,Queenie
2009,Penelope Cruz,Nine,Carla Albanese
2009,Maggie Gyllenhaal,Crazy Heart,Jean Craddock
2009,Vera Farmiga,Up in the Air,Alex Goran
2009,Mo'Nique Award winner,Precious,Mary Lee Johnston
2009,Anna Kendrick,Up in the Air,Natalie Keener
2010,Jacki Weaver,Animal Kingdom,"Janine ""Smurf"" Cody"
2010,Melissa Leo Award winner,The Fighter,Alice Eklund-Ward
2010,Helena Bonham Carter,The King's Speech,Queen Elizabeth
2010,Amy Adams,The Fighter,Charlene Fleming
2010,Hailee Steinfeld,True Grit,Mattie Ross
2011,Jessica Chastain,The Help,Celia Rae Foote
2011,Octavia Spencer Award winner,The Help,Minny Jackson
2011,Melissa McCarthy,Bridesmaids,Megan Price
2011,Berenice Bejo,The Artist,Peppy Miller
2011,Janet McTeer,Albert Nobbs,Hubert Page
2012,Helen Hunt,The Sessions,Cheryl Cohen-Greene
2012,Amy Adams,The Master,"Margaret ""Peggy"" Dodd"
