1980,Gena Rowlands,Gloria,Gloria Swenson
1980,Sissy Spacek Award winner,Coal Miner's Daughter,Loretta Lynn
1981,Katharine Hepburn Award winner,On Golden Pond,Ethel Thayer
1981,Diane Keaton,Reds,Louise Bryant
1981,Marsha Mason,Only When I Laugh,Georgia Hines
1981,Susan Sarandon,Atlantic City,Sally Matthews
1981,Meryl Streep,The French Lieutenant's Woman,Anna / Sara Woodruff
1982,Julie Andrews,Victor Victoria,Victoria Grant
1982,Jessica Lange,Frances,Frances Farmer
1982,Sissy Spacek,Missing,Beth Horman
1982,Meryl Streep Award winner,Sophie's Choice,Sophie Zawistowska
1982,Debra Winger,An Officer and a Gentleman,Paula Pokrifki
1983,Jane Alexander,Testament,Carol Wetherly
1983,Shirley MacLaine Award winner,Terms of Endearment,Aurora Greenway
1983,Meryl Streep,Silkwood,Karen Silkwood
1983,Julie Walters,Educating Rita,Susan White / Rita
1983,Debra Winger,Terms of Endearment,Emma Greenway Horton
1984,Judy Davis,A Passage to India,Adela Quested
1984,Sally Field Award winner,Places in the Heart,Edna Spalding
1984,Jessica Lange,Country,Jewell Ivy
1984,Vanessa Redgrave,The Bostonians,Olive Chancellor
1984,Sissy Spacek,The River,Mae Garvey
1985,Anne Bancroft,Agnes of God,Miriam Ruth
1985,Whoopi Goldberg,The Color Purple,Celie Harris Johnson
1985,Jessica Lange,Sweet Dreams,Patsy Cline
1985,Geraldine Page Award winner,The Trip to Bountiful,Carrie Watts
1985,Meryl Streep,Out of Africa,Karen Blixen
1986,Jane Fonda,The Morning After,Alex Sternbergen
1986,Marlee Matlin Award winner,Children of a Lesser God,Sarah Norman
1986,Sissy Spacek,Crimes of the Heart,Babe Magrath
1986,Kathleen Turner,Peggy Sue Got Married,Peggy Sue Bodell
1986,Sigourney Weaver,Aliens,Ellen Ripley
1987,Cher Award winner,Moonstruck,Loretta Castorini
1987,Glenn Close,Fatal Attraction,Alex Forrest
1987,Holly Hunter,Broadcast News,Jane Craig
1987,Sally Kirkland,Anna,Anna
