Year,Category,Nominee,Additional Info,Won?
2009 (82nd),Music (Song),The Princess and the Frog,Music and Lyric by Randy Newman,FALSE
2009 (82nd),Music (Song),The Princess and the Frog,Music and Lyric by Randy Newman,FALSE
2009 (82nd),Music (Song),Paris 36,Music by Reinhardt Wagner; Lyric by Frank Thomas,FALSE
2009 (82nd),Music (Song),Nine,Music and Lyric by Maury Yeston,FALSE
2009 (82nd),Music (Song),Crazy Heart,Music and Lyric by Ryan Bingham and T Bone Burnett,TRUE
2009 (82nd),Best Picture,Avatar,James Cameron and Jon Landau, Producers
2009 (82nd),Best Picture,The Blind Side,Gil Netter, Andrew A. Kosove and Broderick Johnson
2009 (82nd),Best Picture,District 9,Peter Jackson and Carolynne Cunningham, Producers
2009 (82nd),Best Picture,An Education,Finola Dwyer and Amanda Posey, Producers
2009 (82nd),Best Picture,The Hurt Locker,Kathryn Bigelow, Mark Boal
2009 (82nd),Best Picture,Inglourious Basterds,Lawrence Bender, Producer
2009 (82nd),Best Picture,Precious: Based on the Novel 'Push' by Sapphire,Lee Daniels, Sarah Siegel-Magness and Gary Magness
2009 (82nd),Best Picture,A Serious Man,Joel Coen and Ethan Coen, Producers
2009 (82nd),Best Picture,Up,Jonas Rivera, Producer
2009 (82nd),Best Picture,Up in the Air,Daniel Dubiecki, Ivan Reitman and Jason Reitman
2009 (82nd),Short Film (Animated),French Roast,Fabrice O. Joubert,FALSE
2009 (82nd),Short Film (Animated),Granny O'Grimm's Sleeping Beauty,Nicky Phelan and Darragh O'Connell,FALSE
2009 (82nd),Short Film (Animated),The Lady and the Reaper (La Dama y la Muerte),Javier Recio Gracia,FALSE
2009 (82nd),Short Film (Animated),Logorama,Nicolas Schmerkin,TRUE
2009 (82nd),Short Film (Animated),A Matter of Loaf and Death,Nick Park,FALSE
2009 (82nd),Short Film (Live Action),The Door,Juanita Wilson and James Flynn,FALSE
2009 (82nd),Short Film (Live Action),Instead of Abracadabra,Patrik Eklund and Mathias Fjellstrom,FALSE
2009 (82nd),Short Film (Live Action),Kavi,Gregg Helvey,FALSE
2009 (82nd),Short Film (Live Action),Miracle Fish,Luke Doolan and Drew Bailey,FALSE
2009 (82nd),Short Film (Live Action),The New Tenants,Joachim Back and Tivi Magnusson,TRUE
2009 (82nd),Sound,Avatar,Christopher Boyes, Gary Summers
2009 (82nd),Sound,The Hurt Locker,Paul N.J. Ottosson and Ray Beckett,TRUE
2009 (82nd),Sound,Inglourious Basterds,Michael Minkler, Tony Lamberti and Mark Ulano
2009 (82nd),Sound,Star Trek,Anna Behlmer, Andy Nelson and Peter J. Devlin
2009 (82nd),Sound,Transformers: Revenge of the Fallen,Greg P. Russell, Gary Summers and Geoffrey Patterson
2009 (82nd),Sound Editing,Avatar,Christopher Boyes and Gwendolyn Yates Whittle,FALSE
