1957,Sidney Lumet,12 Angry Men
1957,Mark Robson,Peyton Place
1957,Joshua Logan,Sayonara
1957,David LeanAward winner,The Bridge on the River Kwai
1957,Billy Wilder,Witness for the Prosecution
1958,Richard Brooks,Cat on a Hot Tin Roof
1958,Vincente MinnelliAward winner,Gigi
1958,Robert Wise,I Want to Live!
1958,Stanley Kramer,The Defiant Ones
1958,Mark Robson,The Inn of the Sixth Happiness
1959,William WylerAward winner,Ben-Hur
1959,Jack Clayton,Room at the Top
1959,Billy Wilder,Some Like It Hot
1959,George Stevens,The Diary of Anne Frank
1959,Fred Zinnemann,The Nun's Story
1960,Jules Dassin,Never on Sunday
1960,Alfred Hitchcock,Psycho
1960,Jack Cardiff,Sons and Lovers
1960,Billy WilderAward winner,The Apartment
1960,Fred Zinnemann,The Sundowners
1961,Stanley Kramer,Judgment at Nuremberg
1961,Federico Fellini,La Dolce Vita
1961,J. Lee Thompson,The Guns of Navarone
1961,Robert Rossen,The Hustler
1961,Robert WiseAward winner,West Side Story
1962,Frank Perry,David and Lisa
1962,Pietro Germi,Divorce Italian Style
1962,David LeanAward winner,Lawrence of Arabia
1962,Arthur Penn,The Miracle Worker
1962,Robert Mulligan,To Kill a Mockingbird
1963,Federico Fellini,8_
1963,Elia Kazan,America America
1963,Martin Ritt,Hud
1963,Otto Preminger,The Cardinal
1963,Tony RichardsonAward winner,Tom Jones
1964,Peter Glenville,Becket
1964,Stanley Kubrick,Dr. Strangelove
1964,Robert Stevenson,Mary Poppins
1964,George CukorAward winner,My Fair Lady
1964,Michael Cacoyannis,Zorba the Greek
1965,John Schlesinger,Darling
1965,David Lean,Doctor Zhivago
1965,William Wyler,The Collector
1965,Robert WiseAward winner,The Sound of Music
1965,Hiroshi Teshigahara,The Woman in the Dunes
1966,Claude Lelouch,A Man and a Woman
1966,Fred ZinnemannAward winner,A Man for All Seasons
1966,Michelangelo Antonioni,Blowup
1966,Richard Brooks,The Professionals
1966,Mike Nichols,Who's Afraid of Virginia Woolf?
1967,Arthur Penn,Bonnie and Clyde
1967,Stanley Kramer,Guess Who's Coming to Dinner
1967,Richard Brooks,In Cold Blood
1967,Norman Jewison,In the Heat of the Night
1967,Mike NicholsAward winner,The Graduate
1968,Stanley Kubrick,2001: A Space Odyssey
1968,Carol ReedAward winner,Oliver
1968,Franco Zeffirelli,Romeo and Juliet
1968,Gillo Pontecorvo,The Battle of Algiers
1968,Anthony Harvey,The Lion in Winter
1969,Arthur Penn,Alice's Restaurant
1969,George Roy Hill,Butch Cassidy and the Sundance Kid
1969,John SchlesingerAward winner,Midnight Cowboy
1969,Sydney Pollack,They Shoot Horses Don't They?
1969,Costa Gavras,Z
1970,Federico Fellini,Fellini Satyricon
1970,Arthur Hiller,Love Story
1970,Robert Altman,MASH
1970,Franklin J. SchaffnerAward winner,Patton
1970,Ken Russell,Women in Love
1971,Stanley Kubrick,A Clockwork Orange
1971,Norman Jewison,Fiddler on the Roof
1971,John Schlesinger,Sunday Bloody Sunday
1971,William FriedkinAward winner,The French Connection
1971,Peter Bogdanovich,The Last Picture Show
1972,Bob FosseAward winner,Cabaret
1972,John Boorman,Deliverance
1972,Joseph L. Mankiewicz,Sleuth
1972,Jan Troell,The Emigrants
1972,Francis Ford Coppola,The Godfather
1973,George Lucas,American Graffiti
1973,Ingmar Bergman,Cries and Whispers
1973,Bernardo Bertolucci,Last Tango in Paris
1973,William Friedkin,The Exorcist
1973,George Roy HillAward winner,The Sting
1974,John Cassavetes,A Woman Under the Influence
1974,Roman Polanski,Chinatown
1974,Francois Truffaut,Day for Night
1974,Bob Fosse,Lenny
1974,Francis Ford CoppolaAward winner,The Godfather Part II
1975,Federico Fellini,Amarcord
1975,Stanley Kubrick,Barry Lyndon
1975,Sidney Lumet,Dog Day Afternoon
1975,Robert Altman,Nashville
1975,Milo_ FormanAward winner,One Flew Over the Cuckoo's Nest
1976,Alan J. Pakula,All the President's Men
1976,Ingmar Bergman,Face to Face
1976,Sidney Lumet,Network
1976,John G. AvildsenAward winner,Rocky
1976,Lina Wertmuller,Seven Beauties
1977,Woody AllenAward winner,Annie Hall
1977,Steven Spielberg,Close Encounters of the Third Kind
1977,Fred Zinnemann,Julia
1977,George Lucas,Star Wars
1977,Herbert Ross,The Turning Point
1978,Hal Ashby,Coming Home
1978,Warren Beatty,Heaven Can Wait
1978,Woody Allen,Interiors
1978,Alan Parker,Midnight Express
1978,Michael CiminoAward winner,The Deer Hunter
1979,Bob Fosse,All That Jazz
1979,Francis Ford Coppola,Apocalypse Now
1979,Peter Yates,Breaking Away
1979,Robert BentonAward winner,Kramer vs. Kramer
1979,Edouard Molinaro,La Cage aux Folles
1980,Robert RedfordAward winner,Ordinary People
1980,Martin Scorsese,Raging Bull
1980,Roman Polanski,Tess
1980,David Lynch,The Elephant Man
1980,Richard Rush,The Stunt Man
1981,Louis Malle,Atlantic City
1981,Hugh Hudson,Chariots of Fire
1981,Mark Rydell,On Golden Pond
1981,Steven Spielberg,Raiders of the Lost Ark
1981,Warren BeattyAward winner,Reds
1982,Wolfgang Petersen,Das Boot
1982,Steven Spielberg,E.T. the Extra-Terrestrial
1982,Richard AttenboroughAward winner,Gandhi
1982,Sidney Lumet,The Verdict
1982,Sydney Pollack,Tootsie
1983,Bruce Beresford,'Tender Mercies
1983,Ingmar Bergman,Fanny and Alexander
1983,Mike Nichols,Silkwood
1983,James L. BrooksAward winner,Terms of Endearment
1983,Peter Yates,The Dresser
1984,David Lean,A Passage to India
1984,Milo_ FormanAward winner,Amadeus
1984,Woody Allen,Broadway Danny Rose
1984,Robert Benton,Places in the Heart
1984,Roland Joffe,The Killing Fields
1985,Hector Babenco,Kiss of the Spider Woman
1985,Sydney PollackAward winner,Out of Africa
1985,John Huston,Prizzi's Honor
1985,Akira Kurosawa,Ran
1985,Peter Weir,Witness
1986,James Ivory,A Room with a View
1986,David Lynch,Blue Velvet
1986,Woody Allen,Hannah and Her Sisters
1986,Oliver StoneAward winner,Platoon
1986,Roland Joffe,The Mission
1987,Adrian Lyne,Fatal Attraction
1987,John Boorman,Hope and Glory
1987,Norman Jewison,Moonstruck
1987,Lasse Hallstrom,My Life as a Dog
1987,Bernardo BertolucciAward winner,The Last Emperor
1988,Mike Nichols,'Working Girl
1988,Charles Crichton,A Fish Called Wanda
1988,Alan Parker,Mississippi Burning
1988,Barry LevinsonAward winner,Rain Man
1988,Martin Scorsese,The Last Temptation of Christ
1989,Oliver StoneAward winner,Born on the Fourth of July
1989,Woody Allen,Crimes and Misdemeanors
1989,Peter Weir,Dead Poets Society
1989,Kenneth Branagh,Henry V
1989,Jim Sheridan,My Left Foot
1990,Kevin CostnerAward winner,Dances with Wolves
1990,Martin Scorsese,Goodfellas
1990,Barbet Schroeder,Reversal of Fortune
1990,Francis Ford Coppola,The Godfather Part III
1990,Stephen Frears,The Grifters
1991,John Singleton,Boyz n the Hood
1991,Barry Levinson,Bugsy
1991,Oliver Stone,JFK
1991,Jonathan DemmeAward winner,The Silence of the Lambs
1991,Ridley Scott,Thelma & Louise
1992,James Ivory,Howards End
1992,Martin Brest,Scent of a Woman
1992,Neil Jordan,The Crying Game
1992,Robert Altman,The Player
1992,Clint EastwoodAward winner,Unforgiven
1993,Jim Sheridan,In the Name of the Father
1993,Steven SpielbergAward winner,Schindler's List
1993,Robert Altman,Short Cuts
1993,Jane Campion,The Piano
1993,James Ivory,The Remains of the Day
1994,Woody Allen,Bullets over Broadway
1994,Robert ZemeckisAward winner,Forrest Gump
1994,Quentin Tarantino,Pulp Fiction
1994,Robert Redford,Quiz Show
1994,Krzysztof Kie_lowski,Three Colors: Red
1995,Chris Noonan,Babe
1995,Mel GibsonAward winner,Braveheart
1995,Tim Robbins,Dean Man Walking
1995,Michael Radford,Il Postino: The Postman
1995,Mike Figgis,Leaving Las Vegas
1996,Joel Coen,Fargo
1996,Mike Leigh,Secrets & Lies
1996,Scott Hicks,Shine
1996,Anthony MinghellaAward winner,The English Patient
1996,Milo_ Forman,The People vs. Larry Flynt
1997,Gus Van Sant,Good Will Hunting
1997,Curtis Hanson,L.A. Confidential
1997,Peter Cattaneo,The Full Monty
1997,Atom Egoyan,The Sweet Hereafter
1997,James CameronAward winner,Titanic
1998,Roberto Benigni,Life Is Beautiful
1998,Steven SpielbergAward winner,Saving Private Ryan
1998,John Madden,Shakespeare in Love
1998,Terence Malick,The Thin Red Line
1998,Peter Weir,The Truman Show
1999,Sam MendesAward winner,American Beauty
1999,Spike Jonze,Being John Malkovich
1999,Lasse Hallstrom,The Cider House Rules
1999,Michael Mann,The Insider
1999,M. Night Shyamalan,The Sixth Sense
2000,Stephen Daldry,Billy Elliot
2000,Ang Lee,Crouching Tiger Hidden Dragon
2000,Steven Soderbergh,Erin Brockovich
2000,Ridley Scott,Gladiator
2000,Steven SoderberghAward winner,Traffic
2001,Ron HowardAward winner,A Beautiful Mind
2001,Ridley Scott,Black Hawk Down
2001,Robert Altman,Gosford Park
2001,David Lynch,Mulholland Drive
2001,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring
2002,Rob Marshall,Chicago
2002,Martin Scorsese,Gangs of New York
2002,Pedro Almodovar,Talk to Her
2002,Stephen Daldry,The Hours
2002,Roman PolanskiAward winner,The Pianist
2003,Fernando Meirelles,City of God
2003,Sofia Coppola,Lost in Translation'
2003,Peter Weir,Master and Commander: The Far Side of the World
2003,Clint Eastwood,Mystic River
2003,Peter JacksonAward winner,The Lord of the Rings: The Return of the King
2004,Clint EastwoodAward winner,Million Dollar Baby
2004,Taylor Hackford,Ray
2004,Alexander Payne,Sideways
2004,Martin Scorsese,The Aviator
2004,Mike Leigh,Vera Drake
2005,Ang LeeAward winner,Brokeback Mountain
2005,Bennett Miller,Capote
2005,Paul Haggis,Crash
2005,George Clooney,Good Night and Good Luck
2005,Steven Spielberg,Munich
2006,Alejandro Gonzalez Inarritu,Babel
2006,Clint Eastwood,Letters from Iwo Jima
2006,Martin ScorseseAward winner,The Departed
2006,Stephen Frears,The Queen
2006,Paul Greengrass,United 93
2007,Jason Reitman,Juno
2007,Tony Gilroy,Michael Clayton
2007,Joel CoenAward winner,No Country for Old Men
2007,Julian Schnabel,The Diving Bell and the Butterfly
2007,Paul Thomas Anderson,There Will Be Blood
2008,Ron Howard,Frost/Nixon
2008,Gus Van Sant,Milk
2008,Danny BoyleAward winner,Slumdog Millionaire
2008,David Fincher,The Curious Case of Benjamin Button
2008,Stephen Daldry,The Reader
2009,James Cameron,Avatar
2009,Quentin Tarantino,Inglourious Basterds
2009,Lee Daniels,Precious
2009,Kathryn BigelowAward winner,The Hurt Locker
2009,Jason Reitman,Up in the Air
2010,Darren Aronofsky,Black Swan
2010,David O. Russell,The Fighter
2010,Tom HooperAward winner,The King's Speech
2010,David Fincher,The Social Network
2010,True Grit,Joel Coen
2011,Martin Scorsese,Hugo
2011,Woody Allen,Midnight in Paris
2011,Michel HazanaviciusAward winner,The Artist
2011,Alexander Payne,The Descendants
2011,Terrence Malick,The Tree of Life
2012,Michael Haneke,Amour
2012,Benh Zeitlin,Beasts of the Southern Wild
2012,Ang LeeAward winner,Life of Pi
2012,Steven Spielberg,Lincoln
2012,David O. Russell,Silver Linings Playbook
2013,Steve McQueen,12 Years a Slave
2013,David O. Russell,American Hustle
2013,Alfonso CuaronAward winner,Gravity
2013,Alexander Payne,Nebraska
2013,Martin Scorsese,The Wolf of Wall Street
2014,Alejandro G. InarrituAward winner,Birdman or (The Unexpected Virtue of Ignorance)
2014,Richard Linklater,Boyhood
2014,Bennett Miller,Foxcatcher
2014,Wes Anderson,The Grand Budapest Hotel
2014,Morten Tyldum,The Imitation Game
