1945 (18th),Writing,A Tree Grows in Brooklyn,Tess Slesinger, Frank Davis,FALSE,,,,,,,,,,
1945 (18th),Honorary Award,To Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences.,,TRUE,,,,,,,,,,,
1945 (18th),Honorary Award,To Peggy Ann Garner, outstanding child actress of 1945.,,TRUE,,,,,,,,,,
1945 (18th),Honorary Award,To The House I Live In, tolerance short subject; produced by Frank Ross and Mervyn LeRoy; directed by Mervyn LeRoy; screenplay by Albert Maltz; song The House I Live In, music by Earl Robinson, lyrics by Lewis Allan; starring Frank Sinatra; released by RKO Radio.,FALSE,*,,,,,,,,
1945 (18th),Honorary Award,To Republic Studio, Daniel J. Bloomberg and the Republic Studio Sound Department for the building of an outstanding musical scoring auditorium which provides optimum recording conditions and combines all elements of acoustic and engineering design.,,TRUE,,,,,,,,,,
1945 (18th),Scientific and Technical (Technical Achievement Award),To LOREN L. RYDER, CHARLES R. DAILY and the PARAMOUNT STUDIO SOUND DEPARTMENT for the design, construction and use of the first dial controlled step-by-step sound channel line-up and test circuit. [Sound],,TRUE,,,,,,,,,
1945 (18th),Scientific and Technical (Technical Achievement Award),To MICHAEL S. LESHING, BENJAMIN C. ROBINSON, ARTHUR B. CHATELAIN and ROBERT C. STEVENS of 20th Century-Fox Studio and JOHN G. CAPSTAFF of Eastman Kodak Company for the 20th Century-Fox film processing machine. [Laboratory],,TRUE,,,,,,,,,
1945 (18th),Special Effects (archaic category),Captain Eddie,Photographic Effects by Fred Sersen, Sol Halprin; Sound Effects by Roger Heman, Harry Leonard,FALSE,,,,,,,,,
1945 (18th),Special Effects (archaic category),Spellbound,Photographic Effects by Jack Cosgrove,FALSE,,,,,,,,,,,
1945 (18th),Special Effects (archaic category),They Were Expendable,Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Robert A. MacDonald; Sound Effects by Michael Steinore,FALSE,,,,,,,,,
1945 (18th),Special Effects (archaic category),A Thousand and One Nights,Photographic Effects by Lawrence W. Butler; Sound Effects by Ray Bomba,FALSE,,,,,,,,,,,
1945 (18th),Special Effects (archaic category),Wonder Man,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,TRUE,,,,,,,,,,,
1944 (17th),Actor -- Leading Role,Charles Boyer,Gaslight {'Gregory Anton'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Leading Role,Bing Crosby,Going My Way {'Father O'Malley'},TRUE,,,,,,,,,,,
1944 (17th),Actor -- Leading Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Leading Role,Cary Grant,None but the Lonely Heart {'Ernie Mott'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Leading Role,Alexander Knox,Wilson {'Woodrow Wilson'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Supporting Role,Hume Cronyn,The Seventh Cross {'Paul Roeder'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Supporting Role,Barry Fitzgerald,Going My Way {'Father Fitzgibbon'},TRUE,,,,,,,,,,,
1944 (17th),Actor -- Supporting Role,Claude Rains,Mr. Skeffington {'Job Skeffington'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Supporting Role,Clifton Webb,Laura {'Waldo Lydecker'},FALSE,,,,,,,,,,,
1944 (17th),Actor -- Supporting Role,Monty Woolley,Since You Went Away {'Colonel Smollett'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Leading Role,Ingrid Bergman,Gaslight {'Paula Alquist'},TRUE,,,,,,,,,,,
1944 (17th),Actress -- Leading Role,Claudette Colbert,Since You Went Away {'Anne Hilton'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Leading Role,Bette Davis,Mr. Skeffington {'Fanny Trellis Skeffington'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Leading Role,Greer Garson,Mrs. Parkington {'Susie Parkington'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Leading Role,Barbara Stanwyck,Double Indemnity {'Phyllis Dietrichson'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Supporting Role,Ethel Barrymore,None but the Lonely Heart {'Ma Mott'},TRUE,,,,,,,,,,,
1944 (17th),Actress -- Supporting Role,Jennifer Jones,Since You Went Away {'Jane Hilton'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Supporting Role,Angela Lansbury,Gaslight {'Nancy Oliver'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Supporting Role,Aline MacMahon,Dragon Seed {'Ling's Wife'},FALSE,,,,,,,,,,,
1944 (17th),Actress -- Supporting Role,Agnes Moorehead,Mrs. Parkington {'Aspacia Conti'},FALSE,,,,,,,,,,,
1944 (17th),Acting (other),To Margaret O'Brien, outstanding child actress of 1944.,,TRUE,,,,,,,,,,
1944 (17th),Art Direction,Address Unknown,Art Direction: Lionel Banks, Walter Holscher; Interior Decoration: Joseph Kish,FALSE,,,,,,,,,,
1944 (17th),Art Direction,The Adventures of Mark Twain,Art Direction: John J. Hughes; Interior Decoration: Fred MacLean,FALSE,,,,,,,,,,,
1944 (17th),Art Direction,Casanova Brown,Art Direction: Perry Ferguson; Interior Decoration: Julia Heron,FALSE,,,,,,,,,,,
1944 (17th),Art Direction,Gaslight,Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky,TRUE,,,,,,,,,
1944 (17th),Art Direction,Laura,Art Direction: Lyle Wheeler, Leland Fuller; Interior Decoration: Thomas Little,FALSE,,,,,,,,,,
1944 (17th),Art Direction,No Time for Love,Art Direction: Hans Dreier, Robert Usher; Interior Decoration: Sam Comer,FALSE,,,,,,,,,,
1944 (17th),Art Direction,Since You Went Away,Art Direction: Mark-Lee Kirk; Interior Decoration: Victor A. Gangelin,FALSE,,,,,,,,,,,
1944 (17th),Art Direction,Song of the Open Road[NOTE: THIS IS NOT AN OFFICIAL NOMINATION. Nomination withdrawn by production company.],,FALSE,,,,,,,,,,,
1944 (17th),Art Direction,Step Lively,Art Direction: Albert S. D'Agostino, Carroll Clark; Interior Decoration: Darrell Silvera, Claude Carpenter,FALSE,,,,,,,,,
1944 (17th),Art Direction,The Climax,Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb,FALSE,,,,,,,,,
1944 (17th),Art Direction,Cover Girl,Art Direction: Lionel Banks, Cary Odell; Interior Decoration: Fay Babcock,FALSE,,,,,,,,,,
1944 (17th),Art Direction,The Desert Song,Art Direction: Charles Novi; Interior Decoration: Jack McConaghy,FALSE,,,,,,,,,,,
1944 (17th),Art Direction,Kismet,Art Direction: Cedric Gibbons, Daniel B. Cathcart; Interior Decoration: Edwin B. Willis, Richard Pefferle,FALSE,,,,,,,,,
1944 (17th),Art Direction,Lady in the Dark,Art Direction: Hans Dreier, Raoul Pene du Bois; Interior Decoration: Ray Moyer,FALSE,,,,,,,,,,
1944 (17th),Art Direction,The Princess and the Pirate,Art Direction: Ernst Fegte; Interior Decoration: Howard Bristol,FALSE,,,,,,,,,,,
1944 (17th),Art Direction,Wilson,Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little,TRUE,,,,,,,,,,,
1944 (17th),Cinematography,Double Indemnity,John Seitz,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,Dragon Seed,Sidney Wagner,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,Gaslight,Joseph Ruttenberg,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,Going My Way,Lionel Lindon,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,Laura,Joseph LaShelle,TRUE,,,,,,,,,,,
1944 (17th),Cinematography,Lifeboat,Glen MacWilliams,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,Since You Went Away,Stanley Cortez, Lee Garmes,FALSE,,,,,,,,,,
1944 (17th),Cinematography,Thirty Seconds over Tokyo,Robert Surtees, Harold Rosson,FALSE,,,,,,,,,,
1944 (17th),Cinematography,The Uninvited,Charles Lang,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,The White Cliffs of Dover,George Folsey,FALSE,,,,,,,,,,,
1944 (17th),Cinematography,Cover Girl,Rudolph Mate, Allen M. Davey,FALSE,,,,,,,,,,
1944 (17th),Cinematography,Home in Indiana,Edward Cronjager,FALSE,,,,,,,,,,,
